1,10,204,0,5,102,0,0,51,0,0,20,0,0,10,0
2,15,280,1,10,140,0,5,70,0,0,28,0,0,14,0
3,25,560,1,15,280,1,5,140,1,0,56,0,0,28,0
4,35,815,1,20,408,1,5,204,1,0,82,1,0,41,1
5,45,1121,2,25,561,1,10,280,1,5,112,1,0,56,1
6,60,1426,2,30,713,1,10,357,1,5,143,1,0,71,1
7,70,1732,2,35,866,2,10,433,1,5,173,1,0,87,1
8,85,2063,3,45,1032,2,15,516,1,5,206,1,0,103,1
9,95,2369,3,50,1185,2,15,592,2,5,237,1,0,118,1
10,110,2751,3,55,1376,2,20,688,2,5,275,2,0,138,1
11,120,3056,3,60,1528,2,20,764,2,5,306,2,0,153,1
12,135,3438,4,70,1719,3,25,860,2,5,344,2,0,172,1
13,150,3795,4,75,1898,3,25,949,2,5,380,2,0,190,1
14,165,4177,4,85,2089,3,30,1044,2,10,418,2,0,209,2
15,180,4534,4,90,2267,3,30,1134,2,10,453,2,0,227,2
16,195,4916,5,100,2458,3,35,1229,3,10,492,2,0,246,2
17,210,5298,5,105,2649,3,35,1325,3,10,530,2,0,265,2
18,225,5680,5,115,2840,4,40,1420,3,10,568,2,0,284,2
19,240,6062,5,120,3031,4,40,1516,3,10,606,2,0,303,2
20,255,6469,5,130,3235,4,45,1617,3,10,647,2,0,323,2
21,270,6877,6,135,3439,4,45,1719,3,10,688,3,0,344,2
22,290,7284,6,145,3642,4,50,1821,3,15,728,3,5,364,2
23,305,7666,6,155,3833,4,50,1917,3,15,767,3,5,383,2
24,320,8099,6,160,4050,4,55,2025,3,15,810,3,5,405,2
25,335,8507,6,170,4254,5,55,2127,4,15,851,3,5,425,2
26,355,8940,7,180,4470,5,60,2235,4,15,894,3,5,447,3
27,370,9348,7,185,4674,5,60,2337,4,15,935,3,5,467,3
28,385,9781,7,195,4891,5,65,2445,4,15,978,3,5,489,3
29,405,10214,7,205,5107,5,70,2554,4,20,1021,3,5,511,3
30,420,10621,7,210,5311,5,70,2655,4,20,1062,3,5,531,3
31,435,11079,7,220,5540,5,75,2770,4,20,1108,3,5,554,3
32,455,11487,8,230,5744,5,75,2872,4,20,1149,3,5,574,3
33,470,11945,8,235,5973,6,80,2986,4,20,1195,4,5,597,3
34,490,12404,8,245,6202,6,80,3101,4,20,1240,4,5,620,3
35,505,12837,8,255,6419,6,85,3209,5,20,1284,4,5,642,3
36,525,13270,8,265,6635,6,90,3318,5,25,1327,4,5,664,3
37,540,13728,8,270,6864,6,90,3432,5,25,1373,4,5,686,3
38,560,14187,9,280,7094,6,95,3547,5,25,1419,4,5,709,3
39,575,14645,9,290,7323,6,95,3661,5,25,1465,4,5,732,3
40,595,15078,9,300,7539,6,100,3770,5,25,1508,4,5,754,3
41,615,15562,9,310,7781,7,105,3891,5,25,1556,4,5,778,4
42,630,16021,9,315,8011,7,105,4005,5,25,1602,4,5,801,4
43,650,16479,10,325,8240,7,110,4120,5,30,1648,4,5,824,4
44,670,16963,10,335,8482,7,110,4241,5,30,1696,4,5,848,4
45,685,17396,10,345,8698,7,115,4349,5,30,1740,4,5,870,4
46,705,17905,10,355,8953,7,120,4476,6,30,1791,5,5,895,4
47,725,18364,10,365,9182,7,120,4591,6,30,1836,5,5,918,4
48,740,18822,10,370,9411,7,125,4706,6,30,1882,5,5,941,4
